dataset,dialogue_id,utterance_idx,speaker,utterance,gpt-4o_speaker_intention,Salary,Position,Weekly holiday,Workplace,Company
ji,8ab35ee2-1d6e-11e9-9012-6c96cfdf0295,1,worker,Hello I am looking for a job as an engineer,Express desire to find a job as an engineer,24.0,Sales,3.0,Beijing,Amazon
ji,8ab60566-1d6e-11e9-ad3a-6c96cfdf0295,0,recruiter,What kind of position are you looking for?,To inquire about the type of position the worker is seeking,38.0,Designer,3.0,Sydney,Facebook
ji,8ab60566-1d6e-11e9-ad3a-6c96cfdf0295,1,worker,I would prefer Tokyo,To express a preference for a location,38.0,Designer,3.0,Sydney,Facebook
ji,8ab60566-1d6e-11e9-ad3a-6c96cfdf0295,2,worker,as a designer at Facebook,To specify the desired role and company,38.0,Designer,3.0,Sydney,Facebook
ji,8ab60566-1d6e-11e9-ad3a-6c96cfdf0295,3,recruiter,What about salary?,To inquire about the worker's salary expectations,38.0,Designer,3.0,Sydney,Facebook
ji,8abc87ec-1d6e-11e9-8e51-6c96cfdf0295,0,recruiter,Hey there,Initiate conversation,39.0,Manager,4.0,Sydney,Apple
ji,8abc87ec-1d6e-11e9-8e51-6c96cfdf0295,1,worker,hello,Respond to greeting,39.0,Manager,4.0,Sydney,Apple
ji,8abc87ec-1d6e-11e9-8e51-6c96cfdf0295,2,recruiter,How you doing?,Inquire about worker's well-being,39.0,Manager,4.0,Sydney,Apple
ji,8abc87ec-1d6e-11e9-8e51-6c96cfdf0295,3,worker,good how are you doing today?,Express well-being and reciprocate inquiry,39.0,Manager,4.0,Sydney,Apple
ji,8abc87ec-1d6e-11e9-8e51-6c96cfdf0295,4,recruiter,"Great, thanks.",Express well-being,39.0,Manager,4.0,Sydney,Apple
ji,8abc87ec-1d6e-11e9-8e51-6c96cfdf0295,5,recruiter,What seems like a fair number to you?,Inquire about worker's salary expectations,39.0,Manager,4.0,Sydney,Apple
ji,8ac21cac-1d6e-11e9-9add-6c96cfdf0295,0,worker,hello,Initiate conversation,30.0,Sales,5.0,Beijing,Facebook
ji,8ac21cac-1d6e-11e9-9add-6c96cfdf0295,1,recruiter,hello,Respond to greeting,30.0,Sales,5.0,Beijing,Facebook
ji,8ac21cac-1d6e-11e9-9add-6c96cfdf0295,2,worker,I hope that we can come to a fair agreement!,Express hope for a fair agreement,30.0,Sales,5.0,Beijing,Facebook
ji,8ac21cac-1d6e-11e9-9add-6c96cfdf0295,3,recruiter,sounds good to me.,Agree to the worker's sentiment,30.0,Sales,5.0,Beijing,Facebook
ji,8ac21cac-1d6e-11e9-9add-6c96cfdf0295,4,worker,What kind of jobs do you have available?,Inquire about job availability,30.0,Sales,5.0,Beijing,Facebook
ji,8ac21cac-1d6e-11e9-9add-6c96cfdf0295,5,worker,I have experience as a designer with facebook but willing to explore other options,Provide background and express openness to options,30.0,Sales,5.0,Beijing,Facebook
ji,8ac21cac-1d6e-11e9-9add-6c96cfdf0295,6,recruiter,I have positions in sales for Google.,Inform about available positions,30.0,Sales,5.0,Beijing,Facebook
ji,8ac2c8d2-1d6e-11e9-a290-6c96cfdf0295,0,worker,"Hi! I am looking for work, do you have anything available?",To inquire about job availability,30.0,Engineer,4.0,Seoul,Apple
ji,8ac2c8d2-1d6e-11e9-a290-6c96cfdf0295,1,worker,Hello?,To prompt a response from the recruiter,30.0,Engineer,4.0,Seoul,Apple
ji,8ac2c8d2-1d6e-11e9-a290-6c96cfdf0295,2,worker,Salary is very important to me.,To express the importance of salary in job considerations,30.0,Engineer,4.0,Seoul,Apple
ji,8ac4261e-1d6e-11e9-a7a1-6c96cfdf0295,0,recruiter,"Hello, what kind of salary are you looking for?",To inquire about the worker's salary expectations.,35.0,Designer,5.0,Beijing,Apple
ji,8ac4261e-1d6e-11e9-a7a1-6c96cfdf0295,1,worker,$35 would be great and hello,To state the desired salary and greet the recruiter.,35.0,Designer,5.0,Beijing,Apple
ji,8ac4261e-1d6e-11e9-a7a1-6c96cfdf0295,2,recruiter,"There are positions at Google, Amazon, Facebook, and Apple, with the positions engineer, manager, designer, and sales. Is there anything in particular you are looking for?",To provide information about available positions and inquire about the worker's preferences.,35.0,Designer,5.0,Beijing,Apple
ji,8ac61f34-1d6e-11e9-94bb-6c96cfdf0295,0,recruiter,How do you feel about working in Toyko?,To inquire about the worker's willingness to work in Tokyo.,37.0,Manager,4.0,Seoul,Facebook
ji,8ac61f34-1d6e-11e9-94bb-6c96cfdf0295,1,worker,fine,To express a neutral or positive attitude towards working in Tokyo.,37.0,Manager,4.0,Seoul,Facebook
ji,8ac61f34-1d6e-11e9-94bb-6c96cfdf0295,2,recruiter,What about Seoul?,To inquire about the worker's willingness to work in Seoul.,37.0,Manager,4.0,Seoul,Facebook
ji,8ac61f34-1d6e-11e9-94bb-6c96cfdf0295,3,worker,looking for manager job at facebook with good salary,To specify job preferences  including position and salary expectations.,37.0,Manager,4.0,Seoul,Facebook
ji,8ac97902-1d6e-11e9-b772-6c96cfdf0295,0,worker,Hello!,To greet the recruiter and initiate the conversation,35.0,Engineer,4.0,Seoul,Facebook
ji,8ac97902-1d6e-11e9-b772-6c96cfdf0295,1,recruiter,"Hi, how are you today?",To inquire about the worker's well-being and establish rapport,35.0,Engineer,4.0,Seoul,Facebook
ji,8ac97902-1d6e-11e9-b772-6c96cfdf0295,2,worker,I am good! Ready to begin,To express readiness and willingness to start the discussion,35.0,Engineer,4.0,Seoul,Facebook
ji,8aca2cf8-1d6e-11e9-aa70-6c96cfdf0295,0,recruiter,Hello!,Greet the worker and initiate the conversation.,31.0,Designer,5.0,Beijing,Facebook
ji,8aca2cf8-1d6e-11e9-aa70-6c96cfdf0295,1,worker,Hey,Respond to the greeting and acknowledge the conversation.,31.0,Designer,5.0,Beijing,Facebook
ji,8aca2cf8-1d6e-11e9-aa70-6c96cfdf0295,2,worker,I want a designer at Amazon in Beijing,Express a desire to obtain a designer position at Amazon in Beijing.,31.0,Designer,5.0,Beijing,Facebook
ji,8aca2cf8-1d6e-11e9-aa70-6c96cfdf0295,3,worker,Is that possible?,Inquire about the possibility of obtaining the desired position.,31.0,Designer,5.0,Beijing,Facebook
ji,8acae8dc-1d6e-11e9-ad30-6c96cfdf0295,0,recruiter,how can i help you,offer assistance to the worker,35.0,Engineer,4.0,Seoul,Google
ji,8acae8dc-1d6e-11e9-ad30-6c96cfdf0295,1,recruiter,what kind of position are you looking for?,determine the type of position the worker is interested in,35.0,Engineer,4.0,Seoul,Google
ji,8acae8dc-1d6e-11e9-ad30-6c96cfdf0295,2,worker,im looking for something that pays well,express desire for a well-paying job,35.0,Engineer,4.0,Seoul,Google
ji,8acb9de2-1d6e-11e9-bbd2-6c96cfdf0295,0,recruiter,"I've got a job for you in Seoul, as either an engineer or in sales at Amazon.  Would you prefer one over the other?",To present job opportunities and gauge the worker's preference.,45.0,Engineer,6.0,Seoul,Amazon
ji,8acb9de2-1d6e-11e9-bbd2-6c96cfdf0295,1,worker,"I would prefer to work in Seoul, but not necessarily for Amazon.",To express a preference for location over the company.,45.0,Engineer,6.0,Seoul,Amazon
ji,8acb9de2-1d6e-11e9-bbd2-6c96cfdf0295,2,recruiter,"I also have a job in sales at Facebook, would that be better?",To offer an alternative job opportunity and seek the worker's preference.,45.0,Engineer,6.0,Seoul,Amazon
ji,8acb9de2-1d6e-11e9-bbd2-6c96cfdf0295,3,worker,"Facebook is a great company, but I'd really prefer to work as a manager.",To express a preference for a managerial role.,45.0,Engineer,6.0,Seoul,Amazon
ji,8acb9de2-1d6e-11e9-bbd2-6c96cfdf0295,4,recruiter,Unfortunately that won't be possible for me to offer.,To inform the worker that a managerial position is not available.,45.0,Engineer,6.0,Seoul,Amazon
ji,8acb9de2-1d6e-11e9-bbd2-6c96cfdf0295,5,worker,"Going back to your idea about Facebook, I feel I'm best equipped to serve as a manager, but if other factors are fits, I could see myself as a designer or engineer as well.",To express flexibility in job roles while reiterating a preference for a managerial position.,45.0,Engineer,6.0,Seoul,Amazon
ji,8acb9de2-1d6e-11e9-bbd2-6c96cfdf0295,6,recruiter,"I could offer an engineer position at facebook, but will have to pay a lower salary for it.",To offer an engineering position with a caveat of lower salary.,45.0,Engineer,6.0,Seoul,Amazon
ji,8acc4e7a-1d6e-11e9-8094-6c96cfdf0295,0,recruiter,What company do you have a preference for?,To inquire about the worker's company preference.,36.0,Sales,4.0,Sydney,Apple
ji,8acc4e7a-1d6e-11e9-8094-6c96cfdf0295,1,worker,"Good day! I'm looking to work at Apple in the Sales Dept., in Sydney, $50 an hour, and 6 days off a week.",To express interest in working at Apple with specific conditions.,36.0,Sales,4.0,Sydney,Apple
ji,8acdb418-1d6e-11e9-801d-6c96cfdf0295,0,worker,Hello!,To greet the recruiter and initiate the conversation.,35.0,Sales,5.0,Tokyo,Apple
ji,8acdb418-1d6e-11e9-801d-6c96cfdf0295,1,worker,I am currently looking for a job,To inform the recruiter about their current job-seeking status.,35.0,Sales,5.0,Tokyo,Apple
ji,8acdb418-1d6e-11e9-801d-6c96cfdf0295,2,worker,I would prefer to work at Apple in Tokyo,To express a preference for working at Apple in Tokyo.,35.0,Sales,5.0,Tokyo,Apple
ji,8ace673a-1d6e-11e9-b14e-6c96cfdf0295,0,recruiter,Hello,Initiate conversation,43.0,Manager,3.0,Beijing,Amazon
ji,8ace673a-1d6e-11e9-b14e-6c96cfdf0295,1,worker,Hi there,Respond to greeting,43.0,Manager,3.0,Beijing,Amazon
ji,8ace673a-1d6e-11e9-b14e-6c96cfdf0295,2,recruiter,what kind of job would you like?,Inquire about job preferences,43.0,Manager,3.0,Beijing,Amazon
ji,8ace673a-1d6e-11e9-b14e-6c96cfdf0295,3,worker,"I'm a qualified manager, looking for a manager position at either Google or Amazon",Express desire for a managerial position at specific companies,43.0,Manager,3.0,Beijing,Amazon
ji,8ace673a-1d6e-11e9-b14e-6c96cfdf0295,4,worker,I'd like to be placed in Beijing,Specify preferred job location,43.0,Manager,3.0,Beijing,Amazon
ji,8acfbed4-1d6e-11e9-941e-6c96cfdf0295,0,recruiter,hello!,initiate conversation,35.0,Engineer,4.0,Tokyo,Apple
ji,8acfbed4-1d6e-11e9-941e-6c96cfdf0295,1,worker,hi!  I really want to be an engineer at Apple.,express desire to work as an engineer at Apple,35.0,Engineer,4.0,Tokyo,Apple
ji,8ad06e10-1d6e-11e9-a45c-6c96cfdf0295,0,recruiter,Hello.,Initiate conversation,30.0,Manager,3.0,Beijing,Amazon
ji,8ad06e10-1d6e-11e9-a45c-6c96cfdf0295,1,worker,Hi!,Respond to greeting,30.0,Manager,3.0,Beijing,Amazon
ji,8ad1ceae-1d6e-11e9-81e9-6c96cfdf0295,0,recruiter,Hi there!,To greet the worker.,35.0,Sales,3.0,Beijing,Apple
ji,8ad1ceae-1d6e-11e9-81e9-6c96cfdf0295,1,recruiter,Welcome!,To welcome the worker.,35.0,Sales,3.0,Beijing,Apple
ji,8ad1ceae-1d6e-11e9-81e9-6c96cfdf0295,2,worker,Hi,To acknowledge the greeting.,35.0,Sales,3.0,Beijing,Apple
ji,8ad1ceae-1d6e-11e9-81e9-6c96cfdf0295,3,recruiter,Would you like to work at Facebook?,To inquire about the worker's interest in a job at Facebook.,35.0,Sales,3.0,Beijing,Apple
ji,8ad1ceae-1d6e-11e9-81e9-6c96cfdf0295,4,recruiter,"In Sales, possibly? We have openings!",To suggest a specific job role and inform about openings.,35.0,Sales,3.0,Beijing,Apple
ji,8ad1ceae-1d6e-11e9-81e9-6c96cfdf0295,5,worker,I'd like Apple,To express a preference for working at Apple.,35.0,Sales,3.0,Beijing,Apple
ji,8ad1ceae-1d6e-11e9-81e9-6c96cfdf0295,6,recruiter,"Ok, apple is a possibility...do you have managerial experience?",To acknowledge the worker's preference and inquire about their experience.,35.0,Sales,3.0,Beijing,Apple
ji,8ad29208-1d6e-11e9-91fc-6c96cfdf0295,0,worker,Hello,Initiate conversation,37.0,Manager,6.0,Seoul,Apple
ji,8ad29208-1d6e-11e9-91fc-6c96cfdf0295,1,recruiter,"Hi, how're you?",Engage in polite social interaction,37.0,Manager,6.0,Seoul,Apple
ji,8ad29208-1d6e-11e9-91fc-6c96cfdf0295,2,worker,Good. You understand what you are doing right? I have done this before and usually the recruiter does not know what they are doing,Express concern and seek reassurance about recruiter's competence,37.0,Manager,6.0,Seoul,Apple
ji,8ad29208-1d6e-11e9-91fc-6c96cfdf0295,3,recruiter,"Yes, I under stand.",Provide reassurance and confirm understanding,37.0,Manager,6.0,Seoul,Apple
ji,8ad3ec98-1d6e-11e9-9b7a-6c96cfdf0295,0,worker,I am willing to take a starting salary for a higher position close to home.,Express willingness to accept a lower salary for a higher position near home,35.0,Engineer,4.0,Tokyo,Google
ji,8ad3ec98-1d6e-11e9-9b7a-6c96cfdf0295,1,recruiter,i am willing to offer you position and company and will have more room for negotiation on holidays and workplace,Offer a position with potential for negotiation on holidays and workplace,35.0,Engineer,4.0,Tokyo,Google
ji,8ad4b274-1d6e-11e9-afa3-6c96cfdf0295,0,worker,Helo there!,Greet the recruiter,26.0,Sales,3.0,Sydney,Apple
ji,8ad4b274-1d6e-11e9-afa3-6c96cfdf0295,1,worker,Welcome!,Welcome the recruiter,26.0,Sales,3.0,Sydney,Apple
ji,8ad4b274-1d6e-11e9-afa3-6c96cfdf0295,2,worker,We have huge openings today at Apple and Google!,Inform about job openings at Apple and Google,26.0,Sales,3.0,Sydney,Apple
ji,8ad4b274-1d6e-11e9-afa3-6c96cfdf0295,3,worker,Great companies to work for!,Express positive opinion about the companies,26.0,Sales,3.0,Sydney,Apple
ji,8ad4b274-1d6e-11e9-afa3-6c96cfdf0295,4,recruiter,Hi there! I have some job options for you I have great positions in Sydney and Beijing are you open to those locations?,Introduce self and inquire about location preferences,26.0,Sales,3.0,Sydney,Apple
ji,8ad4b274-1d6e-11e9-afa3-6c96cfdf0295,5,worker,"Hmm, it's a stretch, but Sydney is a possiblity",Express openness to Sydney with some hesitation,26.0,Sales,3.0,Sydney,Apple
ji,8ad4b274-1d6e-11e9-afa3-6c96cfdf0295,6,worker,There is a managerial position for Apple open in Sydeny,Share information about a managerial position at Apple,26.0,Sales,3.0,Sydney,Apple
ji,8ad4b274-1d6e-11e9-afa3-6c96cfdf0295,7,worker,"Oh, pardon me, I'm looking at this all wrong",Correct a previous misunderstanding,26.0,Sales,3.0,Sydney,Apple
ji,8ad4b274-1d6e-11e9-afa3-6c96cfdf0295,8,worker,"Yes, I am open to Sydney",Confirm openness to Sydney,26.0,Sales,3.0,Sydney,Apple
ji,8ad4b274-1d6e-11e9-afa3-6c96cfdf0295,9,recruiter,I got you :),Acknowledge understanding,26.0,Sales,3.0,Sydney,Apple
ji,8ad4b274-1d6e-11e9-afa3-6c96cfdf0295,10,worker,Apple and Google would be ideal picks there though,Express preference for Apple and Google,26.0,Sales,3.0,Sydney,Apple
ji,8ad4b274-1d6e-11e9-afa3-6c96cfdf0295,11,recruiter,So I have available for Sydney a few openings i will list them,Inform about available job openings in Sydney,26.0,Sales,3.0,Sydney,Apple
ji,8ad4b274-1d6e-11e9-afa3-6c96cfdf0295,12,recruiter,"Engineer at Amazon, Facebook, or Apple.  Amazon I also have some great positions as Designer and Sales",Provide specific job options at various companies,26.0,Sales,3.0,Sydney,Apple
ji,8ad4b274-1d6e-11e9-afa3-6c96cfdf0295,13,recruiter,Do any of those interest you?,Inquire about worker's interest in the options,26.0,Sales,3.0,Sydney,Apple
ji,8ad4b274-1d6e-11e9-afa3-6c96cfdf0295,14,worker,"It is very important to me to be a good fit for my job...other factors (like location) I'm able to negotiate on, but is there anything available at Google or Apple?",Express importance of job fit and inquire about Google or Apple positions,26.0,Sales,3.0,Sydney,Apple
ji,8ad604b0-1d6e-11e9-a48b-6c96cfdf0295,0,worker,hello!,To greet the recruiter and initiate the conversation.,20.0,Sales,4.0,Sydney,Apple
ji,8ad604b0-1d6e-11e9-a48b-6c96cfdf0295,1,recruiter,hey,To acknowledge the greeting and reciprocate.,20.0,Sales,4.0,Sydney,Apple
ji,8ad6b23e-1d6e-11e9-8365-6c96cfdf0295,0,worker,Hello there,Initiate conversation,30.0,Engineer,6.0,Beijing,Apple
ji,8ad6b23e-1d6e-11e9-8365-6c96cfdf0295,1,recruiter,hello,Acknowledge greeting,30.0,Engineer,6.0,Beijing,Apple
ji,8ad6b23e-1d6e-11e9-8365-6c96cfdf0295,2,worker,Can we help each other here?,Propose mutual assistance,30.0,Engineer,6.0,Beijing,Apple
ji,8ad6b23e-1d6e-11e9-8365-6c96cfdf0295,3,worker,Lets try to help each other get what we want,Encourage collaboration for mutual benefit,30.0,Engineer,6.0,Beijing,Apple
ji,8ad8c3da-1d6e-11e9-bf45-6c96cfdf0295,0,recruiter,Hello there,Initiate conversation,49.0,Manager,2.0,Beijing,Facebook
ji,8ad8c3da-1d6e-11e9-bf45-6c96cfdf0295,1,recruiter,Lets work together to get what we both want,Express willingness to collaborate for mutual benefit,49.0,Manager,2.0,Beijing,Facebook
ji,8ad8c3da-1d6e-11e9-bf45-6c96cfdf0295,2,recruiter,Tell me what you need,Invite the worker to express their needs,49.0,Manager,2.0,Beijing,Facebook
ji,8ad976c2-1d6e-11e9-b600-6c96cfdf0295,0,recruiter,hello,Initiate conversation,35.0,Sales,4.0,Sydney,Google
ji,8ad976c2-1d6e-11e9-b600-6c96cfdf0295,1,recruiter,what job do you like?,Inquire about the worker's job preference,35.0,Sales,4.0,Sydney,Google
ji,8ad976c2-1d6e-11e9-b600-6c96cfdf0295,2,worker,Hi! How are you?,Greet and establish rapport,35.0,Sales,4.0,Sydney,Google
ji,8ada209a-1d6e-11e9-a685-6c96cfdf0295,0,recruiter,"Hi, how are you today?",To initiate the conversation and establish rapport.,32.0,Designer,4.0,Tokyo,Apple
ji,8ada209a-1d6e-11e9-a685-6c96cfdf0295,1,worker,Hi I'm doing wonderful!,To respond positively and engage in the conversation.,32.0,Designer,4.0,Tokyo,Apple
ji,8ada209a-1d6e-11e9-a685-6c96cfdf0295,2,worker,How are you?,To reciprocate the question and show interest in the recruiter's well-being.,32.0,Designer,4.0,Tokyo,Apple
ji,8ada209a-1d6e-11e9-a685-6c96cfdf0295,3,recruiter,Not too bad... I have sales or manager positions open today are you interested?,To inform the worker about available job positions and gauge interest.,32.0,Designer,4.0,Tokyo,Apple
ji,8adb7ad0-1d6e-11e9-b1da-6c96cfdf0295,0,worker,hello,greet the recruiter,35.0,Manager,4.0,Sydney,Facebook
ji,8adb7ad0-1d6e-11e9-b1da-6c96cfdf0295,1,recruiter,"hi, what position are you looking for?",initiate conversation and inquire about the worker's job interest,35.0,Manager,4.0,Sydney,Facebook
ji,8adcdad8-1d6e-11e9-a0ac-6c96cfdf0295,0,worker,hello,greet the recruiter,42.0,Manager,6.0,Seoul,Amazon
ji,8adcdad8-1d6e-11e9-a0ac-6c96cfdf0295,1,worker,just to make sure,clarify understanding,42.0,Manager,6.0,Seoul,Amazon
ji,8adcdad8-1d6e-11e9-a0ac-6c96cfdf0295,2,worker,do you understand what you need to do,confirm recruiter's understanding,42.0,Manager,6.0,Seoul,Amazon
ji,8adcdad8-1d6e-11e9-a0ac-6c96cfdf0295,3,worker,hello?,check for recruiter's response,42.0,Manager,6.0,Seoul,Amazon
ji,8adcdad8-1d6e-11e9-a0ac-6c96cfdf0295,4,recruiter,Hmm... I'm still reading the instructions at the top here.... I'm introducing you (the worker) to customers (which in this case are the employers)?,clarify understanding of task,42.0,Manager,6.0,Seoul,Amazon
ji,8adcdad8-1d6e-11e9-a0ac-6c96cfdf0295,5,recruiter,It's weird terminology,express confusion about terminology,42.0,Manager,6.0,Seoul,Amazon
ji,8adcdad8-1d6e-11e9-a0ac-6c96cfdf0295,6,worker,ya its a little strange,acknowledge and agree with recruiter's confusion,42.0,Manager,6.0,Seoul,Amazon
ji,8adcdad8-1d6e-11e9-a0ac-6c96cfdf0295,7,recruiter,But I think I get it. It looks like Position and Company is most important to you and you don't care about salary.,express understanding of task requirements,42.0,Manager,6.0,Seoul,Amazon
ji,8adcdad8-1d6e-11e9-a0ac-6c96cfdf0295,8,worker,opposite actually,correct recruiter's misunderstanding,42.0,Manager,6.0,Seoul,Amazon
ji,8adcdad8-1d6e-11e9-a0ac-6c96cfdf0295,9,recruiter,"Interesting... I wish I could send you a screen shot. Mine's the opposite, so it must be showing us different incentives.",express surprise and provide additional information,42.0,Manager,6.0,Seoul,Amazon
ji,8adcdad8-1d6e-11e9-a0ac-6c96cfdf0295,10,worker,basically the requester expects us to quarrel because we both want a good score,explain the task dynamics,42.0,Manager,6.0,Seoul,Amazon
ji,8adcdad8-1d6e-11e9-a0ac-6c96cfdf0295,11,worker,but how it works is that if you propose something with a score of 70 for instance,illustrate scoring example,42.0,Manager,6.0,Seoul,Amazon
ji,8adcdad8-1d6e-11e9-a0ac-6c96cfdf0295,12,recruiter,That sounds like we're going to have to split the difference somewhere,acknowledge need for compromise,42.0,Manager,6.0,Seoul,Amazon
ji,8addb174-1d6e-11e9-abad-6c96cfdf0295,0,worker,Hi! I would love to work in sales at facebook,Expressing interest in a sales position at Facebook,35.0,Sales,5.0,Seoul,Facebook
ji,8addb174-1d6e-11e9-abad-6c96cfdf0295,1,worker,Id love seoul,Expressing a preference for a location in Seoul,35.0,Sales,5.0,Seoul,Facebook
ji,8ade6952-1d6e-11e9-9ee7-6c96cfdf0295,0,recruiter,have you played this before?,To inquire if the worker has prior experience with the task or game,33.0,Sales,6.0,Beijing,Apple
ji,8ade6952-1d6e-11e9-9ee7-6c96cfdf0295,1,recruiter,"Hey, I can send an offer, tell me how it looks on your end please",To offer a job proposal and request feedback,33.0,Sales,6.0,Beijing,Apple
ji,8ade6952-1d6e-11e9-9ee7-6c96cfdf0295,2,recruiter,How does 30 an hour sound?,To propose a salary rate and seek the worker's opinion,33.0,Sales,6.0,Beijing,Apple
ji,8ade6952-1d6e-11e9-9ee7-6c96cfdf0295,3,recruiter,Work in Beijing?,To confirm the worker's willingness to work in a specific location,33.0,Sales,6.0,Beijing,Apple
ji,8ade6952-1d6e-11e9-9ee7-6c96cfdf0295,4,recruiter,Facebook Designer,To specify the job position being offered,33.0,Sales,6.0,Beijing,Apple
ji,8ade6952-1d6e-11e9-9ee7-6c96cfdf0295,5,recruiter,shows 83.7 on my end,To communicate a score or metric from their perspective,33.0,Sales,6.0,Beijing,Apple
ji,8ade6952-1d6e-11e9-9ee7-6c96cfdf0295,6,recruiter,"Hey,  are you there?",To check if the worker is still engaged in the conversation,33.0,Sales,6.0,Beijing,Apple
ji,8ade6952-1d6e-11e9-9ee7-6c96cfdf0295,7,worker,"Yeah, sorry. Computer froze up.",To apologize for the delay and explain the technical issue,33.0,Sales,6.0,Beijing,Apple
ji,8adf1e88-1d6e-11e9-be79-6c96cfdf0295,0,worker,hey,greet the recruiter,36.0,Sales,3.0,Sydney,Google
ji,8adf1e88-1d6e-11e9-be79-6c96cfdf0295,1,recruiter,Hello.  How are you?,initiate conversation and inquire about the worker's well-being,36.0,Sales,3.0,Sydney,Google
ji,8adf1e88-1d6e-11e9-be79-6c96cfdf0295,2,worker,good,respond to the recruiter's inquiry about well-being,36.0,Sales,3.0,Sydney,Google
ji,8adf1e88-1d6e-11e9-be79-6c96cfdf0295,3,recruiter,What job are you applying for?,ask for clarification on the job application,36.0,Sales,3.0,Sydney,Google
ji,8adf1e88-1d6e-11e9-be79-6c96cfdf0295,4,worker,do you understand what we need to do?,seek confirmation on mutual understanding of the task,36.0,Sales,3.0,Sydney,Google
ji,8adf1e88-1d6e-11e9-be79-6c96cfdf0295,5,recruiter,Yes I do,confirm understanding of the task,36.0,Sales,3.0,Sydney,Google
ji,8ae01022-1d6e-11e9-8776-6c96cfdf0295,0,worker,I want more salary,Express desire for a higher salary,47.0,Engineer,4.0,Tokyo,Google
ji,8ae01022-1d6e-11e9-8776-6c96cfdf0295,1,recruiter,Why do you think you would deserve a raise?,Seek justification for the worker's request for a raise,47.0,Engineer,4.0,Tokyo,Google
ji,8ae01022-1d6e-11e9-8776-6c96cfdf0295,2,worker,"Management experience, understanding of the products and organization",Provide reasons for deserving a raise based on experience and understanding,47.0,Engineer,4.0,Tokyo,Google
ji,8ae2e7a2-1d6e-11e9-a256-6c96cfdf0295,0,worker,Hello!,Initiate conversation,40.0,Engineer,3.0,Sydney,Apple
ji,8ae2e7a2-1d6e-11e9-a256-6c96cfdf0295,1,recruiter,Hello I'm recruiting designers for some very prominent companies,Introduce purpose and offer opportunities,40.0,Engineer,3.0,Sydney,Apple
ji,8ae2e7a2-1d6e-11e9-a256-6c96cfdf0295,2,worker,I am looking for a job,Express desire to find a job,40.0,Engineer,3.0,Sydney,Apple
ji,8ae2e7a2-1d6e-11e9-a256-6c96cfdf0295,3,recruiter,what position are you interested in?,Inquire about worker's job preferences,40.0,Engineer,3.0,Sydney,Apple
ji,8ae44306-1d6e-11e9-8732-6c96cfdf0295,0,recruiter,hey there,To initiate the conversation,45.0,Manager,3.0,Sydney,Amazon
ji,8ae44306-1d6e-11e9-8732-6c96cfdf0295,1,recruiter,I think I have a good proposal for you,To express having a proposal for the worker,45.0,Manager,3.0,Sydney,Amazon
ji,8ae44306-1d6e-11e9-8732-6c96cfdf0295,2,recruiter,Something we can both feel good about,To suggest that the proposal is mutually beneficial,45.0,Manager,3.0,Sydney,Amazon
ji,8ae514be-1d6e-11e9-99e2-6c96cfdf0295,0,recruiter,Hello there!,To greet the worker,37.0,Designer,3.0,Sydney,Facebook
ji,8ae514be-1d6e-11e9-99e2-6c96cfdf0295,1,recruiter,Welcome!,To welcome the worker,37.0,Designer,3.0,Sydney,Facebook
ji,8ae514be-1d6e-11e9-99e2-6c96cfdf0295,2,worker,hi,To acknowledge the greeting,37.0,Designer,3.0,Sydney,Facebook
ji,8ae514be-1d6e-11e9-99e2-6c96cfdf0295,3,worker,hello,To continue the greeting,37.0,Designer,3.0,Sydney,Facebook
ji,8ae514be-1d6e-11e9-99e2-6c96cfdf0295,4,recruiter,"Today, we're looking to hire people at Apple!",To inform the worker about job opportunities at Apple,37.0,Designer,3.0,Sydney,Facebook
ji,8ae514be-1d6e-11e9-99e2-6c96cfdf0295,5,recruiter,Are you interested?,To inquire about the worker's interest in the Apple positions,37.0,Designer,3.0,Sydney,Facebook
ji,8ae514be-1d6e-11e9-99e2-6c96cfdf0295,6,worker,i am not interested in apple,To express disinterest in working for Apple,37.0,Designer,3.0,Sydney,Facebook
ji,8ae514be-1d6e-11e9-99e2-6c96cfdf0295,7,recruiter,"We need managers, deisgners, and salespeople!",To provide more details about the available positions at Apple,37.0,Designer,3.0,Sydney,Facebook
ji,8ae514be-1d6e-11e9-99e2-6c96cfdf0295,8,recruiter,How about Facebook?,To inquire about the worker's interest in positions at Facebook,37.0,Designer,3.0,Sydney,Facebook
ji,8ae514be-1d6e-11e9-99e2-6c96cfdf0295,9,worker,yes,To express interest in working for Facebook,37.0,Designer,3.0,Sydney,Facebook
ji,8ae66f30-1d6e-11e9-9491-6c96cfdf0295,0,worker,hello,greet the recruiter,35.0,Manager,4.0,Seoul,Apple
ji,8ae66f30-1d6e-11e9-9491-6c96cfdf0295,1,recruiter,hello,greet the worker,35.0,Manager,4.0,Seoul,Apple
ji,8ae72a24-1d6e-11e9-831d-6c96cfdf0295,0,recruiter,hello,Initiate conversation,33.0,Sales,5.0,Seoul,Facebook
ji,8ae72a24-1d6e-11e9-831d-6c96cfdf0295,1,worker,Hello,Respond to greeting,33.0,Sales,5.0,Seoul,Facebook
ji,8ae72a24-1d6e-11e9-831d-6c96cfdf0295,2,recruiter,what are you lookin for?,Inquire about worker's job preferences,33.0,Sales,5.0,Seoul,Facebook
